key,en,ml
tool_jak_coming_soon_description,"We're working on adding the complete directory of Janakeeya Arogya Kendrams. In the meantime, please contact your local ASHA worker or visit the nearest government health facility for assistance.","ജനകീയ ആരോഗ്യ കേന്ദ്രങ്ങളുടെ പൂർണ്ണ ഡയറക്ടറി ചേർക്കാൻ ഞങ്ങൾ പ്രവർത്തിക്കുന്നു. ഇതിനിടയിൽ, നിങ്ങളുടെ പ്രാദേശിക ASHA വർക്കറുമായി ബന്ധപ്പെടുക അല്ലെങ്കിൽ അടുത്തുള്ള സർക്കാർ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുക."
tool_jak_other_ways_title,Other Ways to Find Help,സഹായം കണ്ടെത്താനുള്ള മറ്റ് വഴികൾ
tool_jak_helpline_title,Health Helpline,ഹെൽത്ത് ഹെൽപ്പ്‌ലൈൻ
tool_jak_helpline_description,Call 104 for health information,ആരോഗ്യ വിവരങ്ങൾക്ക് 104 വിളിക്കുക
tool_jak_asha_title,Contact ASHA Worker,ASHA വർക്കറുമായി ബന്ധപ്പെടുക
tool_jak_asha_description,Your local ASHA can guide you to the nearest facility,നിങ്ങളുടെ പ്രാദേശിക ASHA അടുത്തുള്ള കേന്ദ്രത്തിലേക്ക് മാർഗ്ഗനിർദ്ദേശം നൽകും
tool_jak_phc_title,Visit PHC/CHC,PHC/CHC സന്ദർശിക്കുക
tool_jak_phc_description,Go to your nearest Primary Health Centre,നിങ്ങളുടെ അടുത്തുള്ള പ്രാഥമിക ആരോഗ്യ കേന്ദ്രത്തിലേക്ക് പോകുക
tool_jak_hours_title,Typical Operating Hours,സാധാരണ പ്രവർത്തന സമയം
tool_jak_hours_weekday,Monday - Saturday,തിങ്കൾ - ശനി
tool_jak_hours_weekday_time,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM
tool_jak_hours_emergency,Emergency Services,എമർജൻസി സേവനങ്ങൾ
tool_jak_hours_emergency_time,24/7 (at select centres),24/7 (തിരഞ്ഞെടുത്ത കേന്ദ്രങ്ങളിൽ)
tool_jak_hours_sunday,Sunday & Holidays,ഞായർ & അവധി ദിനങ്ങൾ
tool_jak_hours_sunday_time,Emergency only,എമർജൻസി മാത്രം
tool_jak_hours_note,* Hours may vary by location. Please call ahead to confirm.,* സമയം സ്ഥലം അനുസരിച്ച് വ്യത്യാസപ്പെടാം. സ്ഥിരീകരിക്കാൻ മുൻകൂട്ടി വിളിക്കുക.
tool_jak_bring_title,What to Bring,എന്ത് കൊണ്ടുവരണം
tool_jak_bring_1,Aadhaar card or any government ID,ആധാർ കാർഡ് അല്ലെങ്കിൽ ഏതെങ്കിലും സർക്കാർ ID
tool_jak_bring_2,UHID card (if you have one),UHID കാർഡ് (ഉണ്ടെങ്കിൽ)
tool_jak_bring_3,Previous medical records (if any),മുമ്പത്തെ മെഡിക്കൽ രേഖകൾ (ഉണ്ടെങ്കിൽ)
tool_jak_bring_4,List of current medications,നിലവിലെ മരുന്നുകളുടെ ലിസ്റ്റ്
tool_jak_cta_title,Check your health first,ആദ്യം നിങ്ങളുടെ ആരോഗ്യം പരിശോധിക്കുക
tool_jak_cta_description,Take our quick assessment before your visit to understand your risk factors.,നിങ്ങളുടെ അപകടസാധ്യത ഘടകങ്ങൾ മനസ്സിലാക്കാൻ സന്ദർശനത്തിന് മുമ്പ് ഞങ്ങളുടെ വേഗത്തിലുള്ള വിലയിരുത്തൽ എടുക്കുക.
tool_jak_cta_button,Take Health Assessment,ആരോഗ്യ വിലയിരുത്തൽ എടുക്കുക
assessment_badge,Comprehensive Check,സമഗ്ര പരിശോധന
assessment_title,Complete Health Risk Assessment,സമ്പൂർണ്ണ ആരോഗ്യ അപകടസാധ്യത വിലയിരുത്തൽ
assessment_description,"Take our 5-minute comprehensive assessment to understand your health risks and get personalized recommendations. Based on the Community-Based Assessment Checklist (CBAC), this tool screens for non-communicable disease risks and early warning signs.","നിങ്ങളുടെ ആരോഗ്യ അപകടസാധ്യതകൾ മനസ്സിലാക്കാൻ 5 മിനിറ്റ് എടുത്ത് ഈ സമഗ്രമായ പരിശോധന പൂർത്തിയാക്കുക. കമ്മ്യൂണിറ്റി അധിഷ്ഠിത ചെക്ക്‌ലിസ്റ്റ് (CBAC) അടിസ്ഥാനമാക്കിയുള്ള ഈ ഉപകരണം, ജീവിതശൈലീ രോഗങ്ങളുടെ അപകടസാധ്യതയും ലക്ഷണങ്ങളും പരിശോധിക്കുന്നു."
assessment_feature_bmi,BMI calculation & interpretation,BMI കണക്കാക്കലും വിശകലനവും
assessment_feature_bp,Blood pressure & sugar tracking,രക്തസമ്മർദ്ദവും പഞ്ചസാരയും ട്രാക്കിംഗ്
assessment_feature_ncd,NCD risk scoring (CBAC),ജീവിതശൈലീ രോഗ സ്കോറിംഗ് (CBAC)
assessment_feature_lifestyle,Lifestyle & activity guidance,ജീവിതശൈലി മാർഗ്ഗനിർദ്ദേശം
assessment_feature_diet,Personalized diet tips,വ്യക്തിഗത ഭക്ഷണക്രമ നുറുങ്ങുകൾ
assessment_cta,Start Full Assessment,പൂർണ്ണ വിലയിരുത്തൽ ആരംഭിക്കുക
assessment_card_title,Health Assessment,ആരോഗ്യ വിലയിരുത്തൽ
assessment_card_subtitle,4 steps • 5 minutes • Free,4 ഘട്ടങ്ങൾ • 5 മിനിറ്റ് • സൗജന്യം
assessment_step1_title,Basic Information,അടിസ്ഥാന വിവരങ്ങൾ
assessment_step1_desc,"Age, gender, activity","പ്രായം, ലിംഗം, പ്രവർത്തനം"
assessment_step2_title,Body Measurements,ശരീര അളവുകൾ
assessment_step2_desc,"Height, weight, vitals","ഉയരം, ഭാരം, വൈറ്റലുകൾ"
assessment_step3_title,Risk Factors,അപകടസാധ്യത ഘടകങ്ങൾ
assessment_step3_desc,CBAC questionnaire,CBAC ചോദ്യാവലി
assessment_step4_title,Summary & Guidance,സംഗ്രഹവും മാർഗ്ഗനിർദ്ദേശവും
assessment_step4_desc,"Results, tips & advice","ഫലങ്ങൾ, നുറുങ്ങുകൾ, ഉപദേശം"
privacy_title,Your privacy is our priority,നിങ്ങളുടെ സ്വകാര്യത ഞങ്ങളുടെ മുൻഗണനയാണ്
privacy_description,"We don't ask for your name, phone number, or any personal identifiers. All calculations happen on your device, and your data never leaves your browser.","നിങ്ങളുടെ പേര്, ഫോൺ നമ്പർ, അല്ലെങ്കിൽ മറ്റ് വ്യക്തിഗത വിവരങ്ങൾ ഞങ്ങൾ ചോദിക്കുന്നില്ല. എല്ലാ കണക്കുകൂട്ടലുകളും നിങ്ങളുടെ ഫോണിൽ തന്നെ നടക്കുന്നു, ഡാറ്റ പുറത്തുപോകുന്നില്ല."
privacy_badge_no_signup,No sign-up required,സൈൻ-അപ്പ് ആവശ്യമില്ല
privacy_badge_no_data,No data stored,ഡാറ്റ സംഭരിക്കുന്നില്ല
privacy_badge_no_tracking,No tracking,ട്രാക്കിംഗ് ഇല്ല
privacy_badge_anonymous,100% anonymous,100% അജ്ഞാതം
privacy_dialog_title,Privacy,സ്വകാര്യത
privacy_dialog_what_we_dont_collect,What we don't collect:,ശേഖരിക്കാത്ത വിവരങ്ങൾ:
privacy_dialog_what_we_dont_collect_desc,"Your name, phone number, email, Aadhaar, address, or any other personal identifiers.","നിങ്ങളുടെ പേര്, ഫോൺ നമ്പർ, ഇമെയിൽ, ആധാർ, വിലാസം അല്ലെങ്കിൽ മറ്റ് വ്യക്തിഗത വിവരങ്ങൾ."
privacy_dialog_what_happens,What happens to your answers:,നിങ്ങളുടെ ഉത്തരങ്ങൾ:
privacy_dialog_what_happens_desc,All calculations happen on your device. Your answers are stored temporarily in your browser and are cleared when you restart the assessment.,എല്ലാ കണക്കുകൂട്ടലുകളും നിങ്ങളുടെ ഉപകരണത്തിൽ നടക്കുന്നു. വിലയിരുത്തൽ പുനരാരംഭിക്കുമ്പോൾ ഉത്തരങ്ങൾ മായ്ക്കപ്പെടും.
privacy_dialog_pdf,PDF downloads:,PDF ഡൗൺലോഡുകൾ:
privacy_dialog_pdf_desc,"When you download your summary, it saves directly to your device. We don't see or store it.","നിങ്ങളുടെ സംഗ്രഹം ഡൗൺലോഡ് ചെയ്യുമ്പോൾ, അത് നേരിട്ട് നിങ്ങളുടെ ഉപകരണത്തിൽ സേവ് ചെയ്യുന്നു. ഞങ്ങൾ അത് കാണുകയോ സൂക്ഷിക്കുകയോ ചെയ്യുന്നില്ല."
disclaimer_dialog_title,Important Disclaimer,പ്രധാന നിരാകരണം
disclaimer_dialog_p1,This tool provides general health risk information and is not a medical diagnosis.,"ഇത് പൊതുവായ ആരോഗ്യ വിവരങ്ങൾ നൽകുന്നതിനുള്ള ഉപകരണമാണ്, രോഗനിർണയത്തിനല്ല."
disclaimer_dialog_p2,It does not provide treatment advice. The results are for awareness and educational purposes only.,ചികിത്സാ ഉപദേശം നൽകുന്നില്ല. ഫലങ്ങൾ അവബോധത്തിനും വിദ്യാഭ്യാസ ആവശ്യങ്ങൾക്കും മാത്രം.
disclaimer_dialog_p3,"If you have symptoms, health concerns, or receive a high-risk result, please consult a doctor or visit your nearest health facility for proper evaluation.","ലക്ഷണങ്ങൾ, ആരോഗ്യ ആശങ്കകൾ, അല്ലെങ്കിൽ ഉയർന്ന റിസ്ക് ഫലം ലഭിച്ചാൽ ഡോക്ടറെ സമീപിക്കുക."
footer_disclaimer,This tool provides general health information and is not a medical diagnosis.,"ഈ ഉപകരണം പൊതുവായ ആരോഗ്യ വിവരങ്ങൾ നൽകുന്നു, മെഡിക്കൽ രോഗനിർണയമല്ല."
footer_consult_advice,Always consult a healthcare professional for medical advice.,മെഡിക്കൽ ഉപദേശത്തിന് ആരോഗ്യ പ്രൊഫഷണലുമായി ബന്ധപ്പെടുക.
footer_developed_by,Developed and Maintained by the People of Kerala,കേരളത്തിലെ ജനങ്ങൾ വികസിപ്പിച്ചതും പരിപാലിക്കുന്നതും
footer_text,Kerala Care is developed for the community by Govt. of Kerala in collaboration with the <a href='https://contributors.ohc.network/people' target='_blank' rel='noopener noreferrer' class='underline underline-offset-2'>Open Healthcare Network</a>,ഓപ്പൺ ഹെൽത്ത്‌കെയർ നെറ്റ്‌വർക്കുമായി സഹകരിച്ച് കേരള സർക്കാർ വികസിപ്പിച്ചതാണ് കേരള കെയർ
footer_copyright,© {{year}} Healthy Life Campaign. All tools are free to use.,© {{year}} ഹെൽത്തി ലൈഫ് കാമ്പയിൻ.
footer_awareness,This is a health awareness tool. It does not diagnose disease or prescribe treatment.,ഇത് ആരോഗ്യ അവബോധ ഉപകരണമാണ്. രോഗനിർണയം നടത്തുന്നില്ല.
footer_resource_1,Health and Family Welfare Department,ആരോഗ്യ കുടുംബക്ഷേമ വകുപ്പ്
step1_title,About you,നിങ്ങളെക്കുറിച്ച്
step1_subtitle,This helps us tailor your risk score and tips.,നിങ്ങളുടെ സ്കോറും നിർദ്ദേശങ്ങളും ക്രമീകരിക്കാൻ ഇത് സഹായിക്കും.
step1_card_title,Basic Information,അടിസ്ഥാന വിവരങ്ങൾ
step1_card_description,All fields help us provide better guidance,മികച്ച മാർഗ്ഗനിർദ്ദേശം നൽകാൻ എല്ലാ ഫീൽഡുകളും സഹായിക്കുന്നു
step1_age_label,Age (completed years),പ്രായം (പൂർത്തിയായ വർഷങ്ങൾ)
step1_age_placeholder,"e.g., 42",ഉദാ: 42
step1_age_tooltip,Enter your age in full years,നിങ്ങളുടെ പ്രായം പൂർണ്ണ വർഷങ്ങളിൽ നൽകുക
step1_age_helper,Enter your age in full years.,നിങ്ങളുടെ പ്രായം പൂർണ്ണ വർഷങ്ങളിൽ നൽകുക.
step1_age_error_required,Please enter your age,ദയവായി നിങ്ങളുടെ പ്രായം നൽകുക
step1_age_error_invalid,Please enter a valid age (1-120),ദയവായി സാധുവായ ഒരു പ്രായം നൽകുക (1-120)
step1_underage_alert,"This tool is designed for adults. You can continue, but results may be less relevant.","ഇത് മുതിർന്നവർക്കായി രൂപകൽപ്പന ചെയ്തിരിക്കുന്നു. നിങ്ങൾക്ക് തുടരാം, പക്ഷേ ഫലങ്ങൾ കൃത്യമായിരിക്കില്ല."
step1_gender_label,Gender,ലിംഗം
step1_gender_male,Male,പുരുഷൻ
step1_gender_female,Female,സ്ത്രീ
step1_gender_other,Other,മറ്റുള്ളവ
step1_activity_label,Physical activity level,ശാരീരിക പ്രവർത്തന നില
step1_activity_sedentary,Sedentary,വ്യായാമരഹിത
step1_activity_sedentary_desc,Very little activity,വളരെ കുറഞ്ഞ ശാരീരിക അധ്വാനം
step1_activity_moderate,Moderate,മിതമായ
step1_activity_moderate_desc,"Some activity, under 150 minutes/week","ചെറിയ പ്രവർത്തനം, ആഴ്ചയിൽ 150 മിനിറ്റിൽ താഴെ"
step1_activity_adequate,Adequate,മതിയായ
step1_activity_adequate_desc,150 minutes/week or more,ആഴ്ചയിൽ 150 മിനിറ്റ് അല്ലെങ്കിൽ കൂടുതൽ
step2_title,Body measurements & vitals,ശരീര അളവുകളും വൈറ്റലുകളും
step2_subtitle,We'll calculate your BMI and check your readings.,നിങ്ങളുടെ BMI കണക്കാക്കി പരിശോധനാ ഫലങ്ങൾ വിലയിരുത്താം.
step2_body_title,Body measurements,ശരീര അളവുകൾ
step2_height_label,Height (cm),ഉയരം (cm)
step2_height_placeholder,"e.g., 165",ഉദാ: 165
step2_height_error,Please enter your height,ദയവായി നിങ്ങളുടെ ഉയരം നൽകുക
step2_height_error_invalid,Please enter a valid height (50-300 cm),ദയവായി സാധുവായ ഉയരം നൽകുക (50-300 cm)
step2_weight_label,Weight (kg),ഭാരം (kg)
step2_weight_placeholder,"e.g., 70",ഉദാ: 70
step2_weight_error,Please enter your weight,ദയവായി നിങ്ങളുടെ ഭാരം നൽകുക
step2_weight_error_invalid,Please enter a valid weight (10-500 kg),ദയവായി സാധുവായ ഭാരം നൽകുക (10-500 kg)
step2_bmi_label,Your BMI,നിങ്ങളുടെ BMI
step2_bmi_disclaimer,BMI is a screening measure and doesn't diagnose illness.,"BMI പ്രാഥമിക പരിശോധന മാത്രമാണ്, രോഗനിർണയമല്ല."
step2_bp_title,Blood pressure,രക്തസമ്മർദ്ദം
step2_bp_description,If you know your recent BP reading,നിങ്ങളുടെ സമീപകാല BP റീഡിംഗ് അറിയാമെങ്കിൽ
step2_bp_systolic,Systolic (mmHg),സിസ്റ്റോളിക് (mmHg)
step2_bp_systolic_placeholder,"e.g., 120",ഉദാ: 120
step2_bp_diastolic,Diastolic (mmHg),ഡയസ്റ്റോളിക് (mmHg)
step2_bp_diastolic_placeholder,"e.g., 80",ഉദാ: 80
step2_bp_result,Your BP reading,നിങ്ങളുടെ രക്തസമ്മർദ്ദം
step2_bp_skip,I don't know my BP,എനിക്ക് രക്തസമ്മർദ്ദം അറിയില്ല
step2_bp_skipped,Skipped — will continue without BP,ഒഴിവാക്കി — BP ഇല്ലാതെ തുടരും
step2_bp_enter,Enter BP,രക്തസമ്മർദ്ദം നൽകുക
step2_bp_systolic_error,Please enter systolic pressure,ദയവായി സിസ്റ്റോളിക് അളവ് നൽകുക
step2_bp_diastolic_error,Please enter diastolic pressure,ദയവായി ഡയസ്റ്റോളിക് അളവ് നൽകുക
step2_sugar_title,Blood sugar,രക്തത്തിലെ പഞ്ചസാര
step2_sugar_description,If you know your recent blood sugar reading,നിങ്ങളുടെ സമീപകാല രക്തത്തിലെ പഞ്ചസാര റീഡിംഗ് അറിയാമെങ്കിൽ
step2_sugar_test_type,Test type,ടെസ്റ്റ് തരം
step2_sugar_test_placeholder,Select test type,ടെസ്റ്റ് തരം തിരഞ്ഞെടുക്കുക
step2_sugar_rbs,Random Blood Sugar (RBS),റാൻഡം ബ്ലഡ് ഷുഗർ (RBS)
step2_sugar_fbs,Fasting Blood Sugar (FBS),ഫാസ്റ്റിംഗ് ബ്ലഡ് ഷുഗർ (FBS)
step2_sugar_ppbs,Post-Prandial Blood Sugar (PPBS),പോസ്റ്റ്-പ്രാൻഡിയൽ ബ്ലഡ് ഷുഗർ (PPBS)
step2_sugar_hba1c,HbA1c,HbA1c
step2_sugar_value,Value,മൂല്യം
step2_sugar_value_placeholder,"e.g., 100",ഉദാ: 100
step2_sugar_value_placeholder_hba1c,"e.g., 5.7",ഉദാ: 5.7
step2_sugar_result,Your blood sugar,നിങ്ങളുടെ രക്തത്തിലെ പഞ്ചസാര
step2_sugar_skip,I don't know my blood sugar,എനിക്ക് എന്റെ രക്തത്തിലെ പഞ്ചസാര അറിയില്ല
step2_sugar_skipped,Skipped — will continue without blood sugar,ഒഴിവാക്കി — രക്തത്തിലെ പഞ്ചസാര ഇല്ലാതെ തുടരും
step2_sugar_enter,Enter value,മൂല്യം നൽകുക
step2_sugar_value_error,Please enter blood sugar value,ദയവായി പഞ്ചസാരയുടെ അളവ് നൽകുക
step2_elevated_warning_title,Elevated reading detected,ഉയർന്ന റീഡിംഗ് കണ്ടെത്തി
step2_elevated_warning_description,"Your blood pressure or blood sugar is higher than normal. On the next screen, we'll provide guidance on next steps.",നിങ്ങളുടെ രക്തസമ്മർദ്ദമോ പഞ്ചസാരയോ സാധാരണയേക്കാൾ കൂടുതലാണ്. അടുത്ത പേജിൽ കൂടുതൽ വിവരങ്ങൾ നൽകാം.
advisory_title,We recommend speaking to a doctor,ഡോക്ടറുമായി സംസാരിക്കാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നു
advisory_description,Your entered blood pressure or blood sugar is higher than normal. This tool can't interpret risk scores safely when these are high. Please consult a doctor at your nearest Family Health Centre for further evaluation.,നിങ്ങൾ നൽകിയ രക്തസമ്മർദ്ദമോ പഞ്ചസാരയോ സാധാരണയേക്കാൾ കൂടുതലാണ്. ഇത്തരം സാഹചര്യങ്ങളിൽ റിസ്ക് സ്കോറുകൾ കൃത്യമായിരിക്കില്ല. കൂടുതൽ പരിശോധനയ്ക്കായി അടുത്തുള്ള ഫാമിലി ഹെൽത്ത് സെന്ററിലെ ഡോക്ടറെ കാണുക.
advisory_measurements_title,Your measurements,നിങ്ങളുടെ അളവുകൾ
advisory_measurements_description,What you entered in this assessment,നിങ്ങൾ നൽകിയ വിവരങ്ങൾ:
advisory_consult_doctor,Consult a doctor at your nearest Family Health Centre,ഫാമിലി ഹെൽത്ത് സെന്ററിൽ ഡോക്ടറെ സമീപിക്കുക
advisory_download_measurements,Download my measurements,എന്റെ അളവുകൾ ഡൗൺലോഡ്
advisory_restart,Restart assessment,വിലയിരുത്തൽ പുനരാരംഭിക്കുക
advisory_why_seeing,Why am I seeing this?,ഞാൻ ഇത് എന്തുകൊണ്ട് കാണുന്നു?
advisory_why_intro,"When blood pressure or blood sugar readings are higher than normal, continuing with risk scoring could give misleading results.","രക്തസമ്മർദ്ദമോ പഞ്ചസാരയോ കൂടുതലായിരിക്കുമ്പോൾ, റിസ്ക് സ്കോർ കണക്കാക്കുന്നത് തെറ്റായ ഫലങ്ങൾ നൽകിയേക്കാം."
advisory_why_bp,For blood pressure: Readings of 140/90 mmHg or higher suggest you should speak with a healthcare provider about management and lifestyle changes.,"രക്തസമ്മർദ്ദം: 140/90 mmHg അല്ലെങ്കിൽ അതിൽ കൂടുതലാണെങ്കിൽ, ജീവിതശൈലി മാറ്റങ്ങളെക്കുറിച്ചും ചികിത്സയെക്കുറിച്ചും ഡോക്ടറോട് സംസാരിക്കേണ്ടതാണ്."
advisory_why_sugar,"For blood sugar: Elevated readings may indicate pre-diabetes or diabetes, which requires proper medical evaluation and testing.",രക്തത്തിലെ പഞ്ചസാര: ഉയർന്ന അളവ് പ്രീ-ഡയബറ്റിസ് അല്ലെങ്കിൽ പ്രമേഹത്തെ സൂചിപ്പിക്കാം. ഇതിന് കൃത്യമായ വൈദ്യപരിശോധന ആവശ്യമാണ്.
advisory_why_conclusion,This is why we recommend consulting a doctor before continuing with the general risk assessment.,അതുകൊണ്ടാണ് പൊതുവായ റിസ്ക് വിലയിരുത്തലുമായി തുടരുന്നതിന് മുമ്പ് ഒരു ഡോക്ടറെ സമീപിക്കാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നത്.
step3_title,NCD Risk Check,NCD റിസ്ക് പരിശോധന
step3_subtitle,This checklist estimates risk. It does not diagnose disease.,ഇതൊരു പ്രാഥമിക പരിശോധന മാത്രമാണ്. രോഗനിർണയമല്ല.
step3_card_title,Risk factors,അപകടസാധ്യത ഘടകങ്ങൾ
step3_card_description,Answer these questions to calculate your CBAC score,നിങ്ങളുടെ CBAC സ്കോർ കണക്കാക്കാൻ താഴെ പറയുന്നവയ്ക്ക് ഉത്തരം നൽകുക
step3_tobacco_label,Do you use tobacco?,നിങ്ങൾ പുകയില ഉപയോഗിക്കുന്നുണ്ടോ?
step3_tobacco_never,Never used,ഒരിക്കലും ഉപയോഗിച്ചിട്ടില്ല
step3_tobacco_past,Used in past / occasionally,മുമ്പ് ഉപയോഗിച്ചു / ഇടയ്ക്കിടെ
step3_tobacco_daily,Use daily,ദിവസവും ഉപയോഗിക്കുന്നു
step3_alcohol_label,Do you consume alcohol daily?,നിങ്ങൾ ദിവസവും മദ്യം കഴിക്കുന്നുണ്ടോ?
step3_alcohol_no,No,ഇല്ല
step3_alcohol_yes,Yes,ഉണ്ട്
step3_waist_label,Waist circumference,അരക്കെട്ടിന്റെ ചുറ്റളവ്
step3_waist_how_to_measure,How to measure,എങ്ങനെ അളക്കാം
step3_waist_how_to_measure_title,How to measure waist circumference,അരക്കെട്ടിന്റെ ചുറ്റളവ് എങ്ങനെ അളക്കാം
step3_waist_instruction_1,Stand upright and breathe normally,"നേരെ നിൽക്കുക, സാധാരണയായി ശ്വസിക്കുക"
step3_waist_instruction_2,Find the midpoint between the top of your hip bone and the bottom of your ribs,ഇടുപ്പെല്ലിന്റെ മുകളിലും വാരിയെല്ലിന്റെ താഴെയും മധ്യഭാഗം കണ്ടെത്തുക
step3_waist_instruction_3,Wrap a measuring tape around this point,ഈ ഭാഗത്ത് അളക്കുന്ന ടേപ്പ് ചുറ്റുക
step3_waist_instruction_4,The tape should be snug but not tight,ടേപ്പ് മുറുകെ പിടിക്കാതെ ചേർത്തുപിടിക്കുക
step3_waist_instruction_5,Read the measurement after breathing out normally,സാധാരണയായി ശ്വാസം വിട്ടശേഷം അളക്കുക
step3_waist_reference_title,Reference thresholds:,റഫറൻസ് പരിധികൾ:
step3_waist_reference_female,"Female: Normal ≤80 cm, Elevated 81-90 cm, High >90 cm","സ്ത്രീ: സാധാരണ ≤80 cm, ഉയർന്നത് 81-90 cm, വളരെ ഉയർന്നത് >90 cm"
step3_waist_reference_male,"Male: Normal ≤90 cm, Elevated 91-100 cm, High >100 cm","പുരുഷൻ: സാധാരണ ≤90 cm, ഉയർന്നത് 91-100 cm, വളരെ ഉയർന്നത് >100 cm"
step3_waist_select_reference,Choose reference chart for waist scoring,അരക്കെട്ട് സ്കോറിംഗിനായി റഫറൻസ് ചാർട്ട് തിരഞ്ഞെടുക്കുക
step3_waist_select_placeholder,Select reference,റഫറൻസ് തിരഞ്ഞെടുക്കുക
step3_waist_use_female,Use female thresholds,സ്ത്രീകളുടെ പരിധികൾ ഉപയോഗിക്കുക
step3_waist_use_male,Use male thresholds,പുരുഷന്മാരുടെ പരിധികൾ ഉപയോഗിക്കുക
step3_waist_select_note,We ask this only to calculate the checklist score.,ചെക്ക്‌ലിസ്റ്റ് സ്കോർ കണക്കാക്കാൻ മാത്രമാണ് ഞങ്ങൾ ഇത് ചോദിക്കുന്നത്.
step3_waist_placeholder,Enter waist circumference in cm,cm-ൽ അരക്കെട്ടിന്റെ ചുറ്റളവ് നൽകുക
step3_waist_thresholds,"Thresholds: Normal ≤{{low}} cm, Elevated {{lowPlus}}-{{high}} cm, High >{{high}} cm","പരിധികൾ: സാധാരണ ≤{{low}} cm, ഉയർന്നത് {{lowPlus}}-{{high}} cm, വളരെ ഉയർന്നത് >{{high}} cm"
step3_family_history_label,"Family history of diabetes, hypertension, or heart disease?","കുടുംബത്തിൽ ആർക്കെങ്കിലും പ്രമേഹം, രക്താതിമർദ്ദം, ഹൃദ്രോഗം എന്നിവ ഉണ്ടോ?"
step3_family_history_no,No,ഇല്ല
step3_family_history_yes,Yes,ഉണ്ട്
step3_score_label,Your CBAC Score,നിങ്ങളുടെ CBAC സ്കോർ
step3_score_higher_risk,Higher risk,ഉയർന്ന അപകടസാധ്യത
step3_score_lower_risk,Lower risk,കുറഞ്ഞ അപകടസാധ്യത
step3_score_high_note,Score > 4 indicates higher NCD risk. Please consult a doctor for evaluation.,സ്കോർ > 4: ജീവിതശൈലീ രോഗങ്ങൾക്ക് സാധ്യതയുണ്ട്. ദയവായി ഡോക്ടറെ കണ്ട് പരിശോധന നടത്തുക.
step3_score_low_note,Score ≤ 4 indicates lower risk. Continue with healthy habits.,സ്കോർ ≤ 4: സാധ്യത കുറവാണ്. നല്ല ശീലങ്ങൾ തുടരുക.
step3_high_risk_alert_title,Higher risk detected,ഉയർന്ന അപകടസാധ്യത കണ്ടെത്തി
step3_high_risk_alert_description,Your score suggests higher risk for diabetes or hypertension. We recommend visiting the nearest Janakeeya Arogya Kendram for further evaluation.,നിങ്ങളുടെ സ്കോർ പ്രമേഹത്തിനോ രക്താതിമർദ്ദത്തിനോ ഉയർന്ന അപകടസാധ്യത സൂചിപ്പിക്കുന്നു. കൂടുതൽ വിലയിരുത്തലിനായി അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കാൻ ഞങ്ങൾ ശുപാർശ ചെയ്യുന്നു.
step4_title,Your Summary & Guidance,നിങ്ങളുടെ സംഗ്രഹവും മാർഗ്ഗനിർദ്ദേശവും
step4_subtitle_date,Assessment completed on {{date}},{{date}}-ന് വിലയിരുത്തൽ പൂർത്തിയായി
step4_consultation_title,We recommend consulting a doctor,ദയവായി ഒരു ഡോക്ടറെ കാണുക
step4_consultation_description,"Based on your assessment, please visit the nearest Janakeeya Arogya Kendram for further evaluation, or contact your ASHA for assistance.","നിങ്ങളുടെ വിവരങ്ങളുടെ അടിസ്ഥാനത്തിൽ, കൂടുതൽ പരിശോധനകൾക്കായി അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുകയോ ആശാ വർക്കറെ സമീപിക്കുകയോ ചെയ്യുക."
step4_consultation_find_jak,Find nearby JAK,അടുത്തുള്ള JAK കണ്ടെത്തുക
step4_measurements_title,Measurements,അളവുകൾ
step4_measurements_bmi,BMI,BMI
step4_measurements_bp,Blood Pressure,രക്തസമ്മർദ്ദം
step4_measurements_sugar,Blood Sugar,രക്തത്തിലെ പഞ്ചസാര
step4_measurements_not_entered,Not entered,നൽകിയിട്ടില്ല
step4_risk_score_title,Risk Score,റിസ്ക് സ്കോർ
step4_cbac_score,CBAC Score,CBAC സ്കോർ
step4_key_advice_title,Key Advice,പ്രധാന ഉപദേശം
step4_advice_visit_jak,Please visit the nearest Janakeeya Arogya Kendram for NCD risk evaluation.,ജീവിതശൈലീ രോഗ സാധ്യത പരിശോധിക്കാൻ അടുത്തുള്ള ജനകീയ ആരോഗ്യ കേന്ദ്രം സന്ദർശിക്കുക.
step4_advice_tobacco,Consider seeking tobacco cessation support; reducing tobacco lowers risk over time.,പുകയില ഉപയോഗം നിർത്താൻ സഹായം തേടുക; പുകയില കുറയ്ക്കുന്നത് ഭാവിയിൽ രോഗസാധ്യത കുറയ്ക്കും.
step4_advice_alcohol,Reducing daily alcohol can improve long-term health; consider support services if needed.,ദിവസേനയുള്ള മദ്യപാനം കുറയ്ക്കുന്നത് ദീർഘകാല ആരോഗ്യം മെച്ചപ്പെടുത്തും; ആവശ്യമെങ്കിൽ പിന്തുണാ സേവനങ്ങൾ പരിഗണിക്കുക.
